"","infected_1","infected_2","infected_3","uninfected_1","uninfected_2","uninfected_3","keep"
"BCL2",7,12,16,15,25,7,TRUE
"BCL2L1",178,106,214,107,191,82,TRUE
"BCL2L2",1,0,0,0,0,0,FALSE
"MCL1",291,249,456,310,400,201,TRUE
"BAX",465,290,602,361,621,214,TRUE
"BCL2A1",43,11,34,30,42,27,TRUE
"BAK1",388,230,537,338,512,181,TRUE
"BOK",0,0,1,0,0,0,FALSE
"BCL2L10",0,0,0,0,0,0,FALSE
"BCL2L12",293,163,372,222,398,143,TRUE
"BCL2L13",81,53,109,84,103,35,TRUE
"BCL2L14",1,1,1,2,1,3,FALSE
"BCL2L15",0,0,1,0,0,0,FALSE
"BNIP2",243,143,315,195,364,160,TRUE
"BAD",161,114,240,126,289,88,TRUE
"BBC3",2,6,4,10,7,2,FALSE
"BCL2L11",25,19,32,29,32,11,TRUE
"BID",158,61,129,145,317,99,TRUE
"BIK",61,30,87,48,27,5,TRUE
"BMF",0,1,6,0,3,0,FALSE
"BNIP1",89,30,50,50,96,41,TRUE
"BNIP3",49,27,54,46,84,36,TRUE
"RTL10",24,13,30,19,36,13,TRUE
"HRK",0,0,0,0,1,0,FALSE
"PMAIP1",72,38,74,112,113,64,TRUE
